向第三个中输入斯黛拉 {"command":"input_text","vindex":"三","text":"斯黛拉","mode":0}
向第四十一个中输入可是明天要考试 {"command":"input_text","vindex":"四十一","text":"可是明天要考试","mode":0}
向第五十三个尾部输入合约还有一年才到期 {"command":"input_text","vindex":"五十三","text":"合约还有一年才到期","mode":0}
输入我去他单位看看他到第二十五个 {"command":"input_text","vindex":"二十五","text":"我去他单位看看他","mode":0}
请点击第十九个 {"command":"click","vindex":"十九","mode":0}
帮我向第三十三个尾部添加不存在这个万一 {"command":"input_text","vindex":"三十三","text":"不存在这个万一","mode":0}
看下第十个 {"command":"click","vindex":"十","mode":0}
请向上移动第四十一个 {"command":"swipe","vindex":"四十一","direction":"上"}
向下滑动第三十二个 {"command":"swipe","vindex":"三十二","direction":"下"}
向第四十七个尾部添加那他们看起来是不是都特别的有素质 {"command":"input_text","vindex":"四十七","text":"那他们看起来是不是都特别的有素质","mode":0}
输入我一想到那个画面我就受不了到第二十八个 {"command":"input_text","vindex":"二十八","text":"我一想到那个画面我就受不了","mode":0}
第四十二个上滑 {"command":"swipe","vindex":"四十二","direction":"上"}
给我向第四十四个中输入让他可以改正这些错误 {"command":"input_text","vindex":"四十四","text":"让他可以改正这些错误","mode":0}
帮我向上滑动第十三个 {"command":"swipe","vindex":"十三","direction":"上"}
帮我进入第八个 {"command":"click","vindex":"八","mode":0}
帮我按一下第十二个 {"command":"click","vindex":"十二","mode":0}
第五十个往右 {"command":"swipe","vindex":"五十","direction":"右"}
第二十四个下滑 {"command":"swipe","vindex":"二十四","direction":"下"}
请按一下第二十二个 {"command":"click","vindex":"二十二","mode":0}
添加多大的仇到第二十个 {"command":"input_text","vindex":"二十","text":"多大的仇","mode":0}
输入好好好得嘞到第三十六个 {"command":"input_text","vindex":"三十六","text":"好好好得嘞","mode":0}
帮我第二十六个往左 {"command":"swipe","vindex":"二十六","direction":"左"}
输入没有学历怎么了到第二十三个 {"command":"input_text","vindex":"二十三","text":"没有学历怎么了","mode":0}
给我添加我不用到第十七个 {"command":"input_text","vindex":"十七","text":"我不用","mode":0}
帮我进入第二个 {"command":"click","vindex":"二","mode":0}
添加江焱到第十四个 {"command":"input_text","vindex":"十四","text":"江焱","mode":0}
请向第十九个中输入不知道的就空着 {"command":"input_text","vindex":"十九","text":"不知道的就空着","mode":0}
给我输入他答应明天把钱给我到第二十三个 {"command":"input_text","vindex":"二十三","text":"他答应明天把钱给我","mode":0}
向第二十七个中输入接受我的追求和仰慕就那么困难吗 {"command":"input_text","vindex":"二十七","text":"接受我的追求和仰慕就那么困难吗","mode":0}
添加不就给他机会吗到第六个 {"command":"input_text","vindex":"六","text":"不就给他机会吗","mode":0}
请第四十六个点击 {"command":"click","vindex":"四十六","mode":0}
帮我输入永生难忘到第二十个 {"command":"input_text","vindex":"二十","text":"永生难忘","mode":0}
请向第十一个尾部输入媳妇 {"command":"input_text","vindex":"十一","text":"媳妇","mode":0}
帮我向第五十三个中输入他问我都有哪些女人喜欢你 {"command":"input_text","vindex":"五十三","text":"他问我都有哪些女人喜欢你","mode":0}
帮我向第二十二个尾部输入研究你儿子的事儿 {"command":"input_text","vindex":"二十二","text":"研究你儿子的事儿","mode":0}
向第三十四个尾部添加我说你白 {"command":"input_text","vindex":"三十四","text":"我说你白","mode":0}
请向第五十四个尾部添加她想拿下利群这笔单子 {"command":"input_text","vindex":"五十四","text":"她想拿下利群这笔单子","mode":0}
请第二个下滑 {"command":"swipe","vindex":"二","direction":"下"}
帮我按一下第九个 {"command":"click","vindex":"九","mode":0}
给我第三十八个点击 {"command":"click","vindex":"三十八","mode":0}
输入一辈子相互相守着对方是吗到第四十六个 {"command":"input_text","vindex":"四十六","text":"一辈子相互相守着对方是吗","mode":0}
向第三十九个尾部添加谈恋爱就是看对了眼天雷勾动地火没有什么道 {"command":"input_text","vindex":"三十九","text":"谈恋爱就是看对了眼天雷勾动地火没有什么道","mode":0}
向下移动第三十一个 {"command":"swipe","vindex":"三十一","direction":"下"}
给我把第六十个向下滑 {"command":"swipe","vindex":"六十","direction":"下"}
给我第十个左滑 {"command":"swipe","vindex":"十","direction":"左"}
给我添加把自己和老板关在了里面整整一天到第十个 {"command":"input_text","vindex":"十","text":"把自己和老板关在了里面整整一天","mode":0}
输入昨天晚上是不是又陪着茜茜熬夜了到第四十个 {"command":"input_text","vindex":"四十","text":"昨天晚上是不是又陪着茜茜熬夜了","mode":0}
给我左滑第四十六个 {"command":"swipe","vindex":"四十六","direction":"左"}
帮我第五十八个往右 {"command":"swipe","vindex":"五十八","direction":"右"}
请第五十三个往下 {"command":"swipe","vindex":"五十三","direction":"下"}
给我查看第三十九个 {"command":"click","vindex":"三十九","mode":0}
打开第十五个 {"command":"click","vindex":"十五","mode":0}
向第二十二个尾部输入让你拿着你就拿着干嘛拿着 {"command":"input_text","vindex":"二十二","text":"让你拿着你就拿着干嘛拿着","mode":0}
请向第十四个中输入怎么着你想跟我借钱那可没有 {"command":"input_text","vindex":"十四","text":"怎么着你想跟我借钱那可没有","mode":0}
帮我打开第十二个 {"command":"click","vindex":"十二","mode":0}
第十六个点击 {"command":"click","vindex":"十六","mode":0}
帮我右滑第三十二个 {"command":"swipe","vindex":"三十二","direction":"右"}
给我查看第四十六个 {"command":"click","vindex":"四十六","mode":0}
输入老彭外面有人了到第五十七个 {"command":"input_text","vindex":"五十七","text":"老彭外面有人了","mode":0}
帮我向第五十二个尾部输入下去 {"command":"input_text","vindex":"五十二","text":"下去","mode":0}
帮我进入第二十个 {"command":"click","vindex":"二十","mode":0}
帮我看下第四十二个 {"command":"click","vindex":"四十二","mode":0}
向第十九个尾部添加你说我现在要是退了 {"command":"input_text","vindex":"十九","text":"你说我现在要是退了","mode":0}
添加我知道我们幼儿园的小朋友有好几个的爸爸妈到第三十一个 {"command":"input_text","vindex":"三十一","text":"我知道我们幼儿园的小朋友有好几个的爸爸妈","mode":0}
向第十八个中输入你也不应该跟宋老师生一个乔英子出来 {"command":"input_text","vindex":"十八","text":"你也不应该跟宋老师生一个乔英子出来","mode":0}
进入第十二个 {"command":"click","vindex":"十二","mode":0}
请向右移动第五十九个 {"command":"swipe","vindex":"五十九","direction":"右"}
向上移动第二个 {"command":"swipe","vindex":"二","direction":"上"}
向第三个尾部添加那我就不客气了 {"command":"input_text","vindex":"三","text":"那我就不客气了","mode":0}
请向第三十二个中输入我头一次看你溜号他的主意 {"command":"input_text","vindex":"三十二","text":"我头一次看你溜号他的主意","mode":0}
请向右滑动第四十四个 {"command":"swipe","vindex":"四十四","direction":"右"}
输入你现在纠结这些有什么意义吗到第四十二个 {"command":"input_text","vindex":"四十二","text":"你现在纠结这些有什么意义吗","mode":0}
按一下第一个 {"command":"click","vindex":"一","mode":0}
帮我向第十七个尾部输入你把你这点智商用在学业上还能学不好 {"command":"input_text","vindex":"十七","text":"你把你这点智商用在学业上还能学不好","mode":0}
查看第二十三个 {"command":"click","vindex":"二十三","mode":0}
给我按一下第五十二个 {"command":"click","vindex":"五十二","mode":0}
请点击第四十六个 {"command":"click","vindex":"四十六","mode":0}
给我查看第三十五个 {"command":"click","vindex":"三十五","mode":0}
打开第十九个 {"command":"click","vindex":"十九","mode":0}
请向右移动第五个 {"command":"swipe","vindex":"五","direction":"右"}
请向第二个尾部输入如果你没钱 {"command":"input_text","vindex":"二","text":"如果你没钱","mode":0}
请把第七个向下滑 {"command":"swipe","vindex":"七","direction":"下"}
看下第四十二个 {"command":"click","vindex":"四十二","mode":0}
请输入是什么呀到第四十个 {"command":"input_text","vindex":"四十","text":"是什么呀","mode":0}
请向上滑动第四十个 {"command":"swipe","vindex":"四十","direction":"上"}
帮我第十六个左滑 {"command":"swipe","vindex":"十六","direction":"左"}
输入你这老生气到时候就容易老了到第十七个 {"command":"input_text","vindex":"十七","text":"你这老生气到时候就容易老了","mode":0}
把第五十一个向右滑 {"command":"swipe","vindex":"五十一","direction":"右"}
帮我点击第五个 {"command":"click","vindex":"五","mode":0}
下滑第四个 {"command":"swipe","vindex":"四","direction":"下"}
点击第二个 {"command":"click","vindex":"二","mode":0}
给我添加我的辞职信到第四十九个 {"command":"input_text","vindex":"四十九","text":"我的辞职信","mode":0}
帮我输入你们俩好上了到第三十五个 {"command":"input_text","vindex":"三十五","text":"你们俩好上了","mode":0}
帮我点击第十九个 {"command":"click","vindex":"十九","mode":0}
添加你真行到第三十六个 {"command":"input_text","vindex":"三十六","text":"你真行","mode":0}
左滑第四十四个 {"command":"swipe","vindex":"四十四","direction":"左"}
请向右移动第四十二个 {"command":"swipe","vindex":"四十二","direction":"右"}
向上移动第六个 {"command":"swipe","vindex":"六","direction":"上"}
请向第三十四个尾部添加我怕你又要大发雷霆 {"command":"input_text","vindex":"三十四","text":"我怕你又要大发雷霆","mode":0}
打开第四十个 {"command":"click","vindex":"四十","mode":0}
帮我进入第十三个 {"command":"click","vindex":"十三","mode":0}
向第八个尾部添加你说你知道家里没人 {"command":"input_text","vindex":"八","text":"你说你知道家里没人","mode":0}
输入行了到第十四个 {"command":"input_text","vindex":"十四","text":"行了","mode":0}
给我向第十一个尾部输入好吧 {"command":"input_text","vindex":"十一","text":"好吧","mode":0}
请添加她说话一直就这么阴阳怪气的到第二十一个 {"command":"input_text","vindex":"二十一","text":"她说话一直就这么阴阳怪气的","mode":0}
向第五十六个尾部输入你能不能放尊重点说话 {"command":"input_text","vindex":"五十六","text":"你能不能放尊重点说话","mode":0}
请第五十七个往下 {"command":"swipe","vindex":"五十七","direction":"下"}
给我第三十三个点击 {"command":"click","vindex":"三十三","mode":0}
请看下第三十三个 {"command":"click","vindex":"三十三","mode":0}
给我第五十六个点击 {"command":"click","vindex":"五十六","mode":0}
帮我看下第八个 {"command":"click","vindex":"八","mode":0}
向第十一个尾部添加密码我改过了 {"command":"input_text","vindex":"十一","text":"密码我改过了","mode":0}
向第三十八个尾部添加半年 {"command":"input_text","vindex":"三十八","text":"半年","mode":0}
向第二十八个中输入像你这种头脑简单四肢发达的人 {"command":"input_text","vindex":"二十八","text":"像你这种头脑简单四肢发达的人","mode":0}
请进入第三十个 {"command":"click","vindex":"三十","mode":0}
帮我查看第四十二个 {"command":"click","vindex":"四十二","mode":0}
请看下第二十五个 {"command":"click","vindex":"二十五","mode":0}
帮我输入之前都已经被卖掉了到第四十个 {"command":"input_text","vindex":"四十","text":"之前都已经被卖掉了","mode":0}
请输入你说你到底什么意思啊到第三十一个 {"command":"input_text","vindex":"三十一","text":"你说你到底什么意思啊","mode":0}
上滑第二十七个 {"command":"swipe","vindex":"二十七","direction":"上"}
给我上滑第十四个 {"command":"swipe","vindex":"十四","direction":"上"}
请把第五十二个向上滑 {"command":"swipe","vindex":"五十二","direction":"上"}
帮我向第二个中输入这个钱是给爸买房子的钱 {"command":"input_text","vindex":"二","text":"这个钱是给爸买房子的钱","mode":0}
给我向第六十个尾部添加我哪有夸张 {"command":"input_text","vindex":"六十","text":"我哪有夸张","mode":0}
给我添加好勒到第十三个 {"command":"input_text","vindex":"十三","text":"好勒","mode":0}
请打开第二个 {"command":"click","vindex":"二","mode":0}
输入真不留了到第三十五个 {"command":"input_text","vindex":"三十五","text":"真不留了","mode":0}
向第二个中输入我不可怜 {"command":"input_text","vindex":"二","text":"我不可怜","mode":0}
帮我向第四十一个尾部输入哲哥你可真的是好凉薄哦 {"command":"input_text","vindex":"四十一","text":"哲哥你可真的是好凉薄哦","mode":0}
向第五十三个中输入谁是你妈 {"command":"input_text","vindex":"五十三","text":"谁是你妈","mode":0}
第五十九个上滑 {"command":"swipe","vindex":"五十九","direction":"上"}
帮我点击第十个 {"command":"click","vindex":"十","mode":0}
帮我向右移动第十六个 {"command":"swipe","vindex":"十六","direction":"右"}
帮我输入爸这赛车改外皮没用到第二个 {"command":"input_text","vindex":"二","text":"爸这赛车改外皮没用","mode":0}
向第四十四个中输入不着急回家 {"command":"input_text","vindex":"四十四","text":"不着急回家","mode":0}
上滑第二十个 {"command":"swipe","vindex":"二十","direction":"上"}
帮我输入打枪的不要不见兔子不撒鹰到第三个 {"command":"input_text","vindex":"三","text":"打枪的不要不见兔子不撒鹰","mode":0}
第十五个点击 {"command":"click","vindex":"十五","mode":0}
输入咱们还去不去乔叔叔那儿啊到第三十三个 {"command":"input_text","vindex":"三十三","text":"咱们还去不去乔叔叔那儿啊","mode":0}
向第六个尾部输入真的挺吓人的 {"command":"input_text","vindex":"六","text":"真的挺吓人的","mode":0}
帮我查看第二十六个 {"command":"click","vindex":"二十六","mode":0}
帮我点击第四十九个 {"command":"click","vindex":"四十九","mode":0}
请按一下第六个 {"command":"click","vindex":"六","mode":0}
向第六个尾部添加人到中年危机要来 {"command":"input_text","vindex":"六","text":"人到中年危机要来","mode":0}
帮我查看第四十五个 {"command":"click","vindex":"四十五","mode":0}
向右移动第十六个 {"command":"swipe","vindex":"十六","direction":"右"}
查看第三个 {"command":"click","vindex":"三","mode":0}
向上移动第五十一个 {"command":"swipe","vindex":"五十一","direction":"上"}
给我看下第五十八个 {"command":"click","vindex":"五十八","mode":0}
给我左滑第四十五个 {"command":"swipe","vindex":"四十五","direction":"左"}
打开第八个 {"command":"click","vindex":"八","mode":0}
请把第三十四个向右滑 {"command":"swipe","vindex":"三十四","direction":"右"}
点击第四十四个 {"command":"click","vindex":"四十四","mode":0}
帮我第十四个点击 {"command":"click","vindex":"十四","mode":0}
第十九个点击 {"command":"click","vindex":"十九","mode":0}
帮我点击第四个 {"command":"click","vindex":"四","mode":0}
打开第十一个 {"command":"click","vindex":"十一","mode":0}
第四个上滑 {"command":"swipe","vindex":"四","direction":"上"}
添加下面的代工厂和门店也都联系好了到第二十四个 {"command":"input_text","vindex":"二十四","text":"下面的代工厂和门店也都联系好了","mode":0}
请第九个往上 {"command":"swipe","vindex":"九","direction":"上"}
请添加我可不能总让女孩请客到第十五个 {"command":"input_text","vindex":"十五","text":"我可不能总让女孩请客","mode":0}
向第一个中输入我就跟你开个玩笑 {"command":"input_text","vindex":"一","text":"我就跟你开个玩笑","mode":0}
请上滑第四十一个 {"command":"swipe","vindex":"四十一","direction":"上"}
请向第二十二个尾部输入还不都是因为你把我电话通讯录全清空了 {"command":"input_text","vindex":"二十二","text":"还不都是因为你把我电话通讯录全清空了","mode":0}
向第五十九个尾部添加你说你喜欢老女人 {"command":"input_text","vindex":"五十九","text":"你说你喜欢老女人","mode":0}
看下第三十五个 {"command":"click","vindex":"三十五","mode":0}
给我第四十一个点击 {"command":"click","vindex":"四十一","mode":0}
添加我能听得见到第三十个 {"command":"input_text","vindex":"三十","text":"我能听得见","mode":0}
请下滑第五十八个 {"command":"swipe","vindex":"五十八","direction":"下"}
帮我点击第五十八个 {"command":"click","vindex":"五十八","mode":0}
给我查看第二十五个 {"command":"click","vindex":"二十五","mode":0}
请向第五十三个尾部输入我一直纳闷 {"command":"input_text","vindex":"五十三","text":"我一直纳闷","mode":0}
向第三十个尾部添加与其两个人都痛苦 {"command":"input_text","vindex":"三十","text":"与其两个人都痛苦","mode":0}
请添加还有无敌江景房老大跟你说到第三十九个 {"command":"input_text","vindex":"三十九","text":"还有无敌江景房老大跟你说","mode":0}
请添加可是现在还没过12点到第三十九个 {"command":"input_text","vindex":"三十九","text":"可是现在还没过12点","mode":0}
查看第五十五个 {"command":"click","vindex":"五十五","mode":0}
请第六个往右 {"command":"swipe","vindex":"六","direction":"右"}
打开第八个 {"command":"click","vindex":"八","mode":0}
帮我添加但是你现在到第五十个 {"command":"input_text","vindex":"五十","text":"但是你现在","mode":0}
帮我向第五十个中输入真是好事不出门 {"command":"input_text","vindex":"五十","text":"真是好事不出门","mode":0}
输入你收拾收拾到第三十八个 {"command":"input_text","vindex":"三十八","text":"你收拾收拾","mode":0}
请向第九个尾部输入我就没打算我要给他买什么单反 {"command":"input_text","vindex":"九","text":"我就没打算我要给他买什么单反","mode":0}
向第二十九个尾部输入怕她又找我的茬 {"command":"input_text","vindex":"二十九","text":"怕她又找我的茬","mode":0}
帮我输入今天夏峰余哥和张一男他们三个人吵起来了到第八个 {"command":"input_text","vindex":"八","text":"今天夏峰余哥和张一男他们三个人吵起来了","mode":0}
向第十个中输入让众诚毫发无损 {"command":"input_text","vindex":"十","text":"让众诚毫发无损","mode":0}
向左滑动第二十个 {"command":"swipe","vindex":"二十","direction":"左"}
帮我第二十七个左滑 {"command":"swipe","vindex":"二十七","direction":"左"}
查看第二十六个 {"command":"click","vindex":"二十六","mode":0}
右滑第十九个 {"command":"swipe","vindex":"十九","direction":"右"}
给我第八个左滑 {"command":"swipe","vindex":"八","direction":"左"}
帮我第三十七个点击 {"command":"click","vindex":"三十七","mode":0}
请向下滑动第三十七个 {"command":"swipe","vindex":"三十七","direction":"下"}
帮我向下移动第十个 {"command":"swipe","vindex":"十","direction":"下"}
帮我向第一个尾部添加是这件吗 {"command":"input_text","vindex":"一","text":"是这件吗","mode":0}
请向第五十个中输入走吧 {"command":"input_text","vindex":"五十","text":"走吧","mode":0}
请向第四个尾部添加说什么去旅行 {"command":"input_text","vindex":"四","text":"说什么去旅行","mode":0}
向下移动第二十三个 {"command":"swipe","vindex":"二十三","direction":"下"}
打开第三十九个 {"command":"click","vindex":"三十九","mode":0}
添加看你吓的到第五十一个 {"command":"input_text","vindex":"五十一","text":"看你吓的","mode":0}
帮我进入第五十二个 {"command":"click","vindex":"五十二","mode":0}
添加万一你妈从这一点上有什么感觉到第八个 {"command":"input_text","vindex":"八","text":"万一你妈从这一点上有什么感觉","mode":0}
向第五十六个中输入我说只要茜茜能够幸福快乐 {"command":"input_text","vindex":"五十六","text":"我说只要茜茜能够幸福快乐","mode":0}
请向第二十二个尾部添加业务当中有任何问题 {"command":"input_text","vindex":"二十二","text":"业务当中有任何问题","mode":0}
输入不过这些都不重要到第五个 {"command":"input_text","vindex":"五","text":"不过这些都不重要","mode":0}
第五十四个上滑 {"command":"swipe","vindex":"五十四","direction":"上"}
给我第二十二个点击 {"command":"click","vindex":"二十二","mode":0}
请输入那多不好意思啊到第六个 {"command":"input_text","vindex":"六","text":"那多不好意思啊","mode":0}
向下滑动第四十五个 {"command":"swipe","vindex":"四十五","direction":"下"}
给我向第五个中输入行 {"command":"input_text","vindex":"五","text":"行","mode":0}
向第四十四个尾部添加什么乱七八糟的 {"command":"input_text","vindex":"四十四","text":"什么乱七八糟的","mode":0}
输入脑子知道吧到第四十七个 {"command":"input_text","vindex":"四十七","text":"脑子知道吧","mode":0}
给我查看第十二个 {"command":"click","vindex":"十二","mode":0}
请第三十一个往左 {"command":"swipe","vindex":"三十一","direction":"左"}
帮我第五十四个往左 {"command":"swipe","vindex":"五十四","direction":"左"}
向第十四个尾部添加不行 {"command":"input_text","vindex":"十四","text":"不行","mode":0}
添加好好说的了吗到第四十二个 {"command":"input_text","vindex":"四十二","text":"好好说的了吗","mode":0}
向第三十一个尾部添加慢点开慢点停停停 {"command":"input_text","vindex":"三十一","text":"慢点开慢点停停停","mode":0}
查看第五十八个 {"command":"click","vindex":"五十八","mode":0}
帮我向第四十八个中输入我觉得也是杨杨过得太奢侈了 {"command":"input_text","vindex":"四十八","text":"我觉得也是杨杨过得太奢侈了","mode":0}
帮我输入本大师已经创作出了一幅传神的佳作到第五十八个 {"command":"input_text","vindex":"五十八","text":"本大师已经创作出了一幅传神的佳作","mode":0}
添加我不瞒你说到第二十二个 {"command":"input_text","vindex":"二十二","text":"我不瞒你说","mode":0}
请向第五十四个尾部添加睡不着闭上眼歇会 {"command":"input_text","vindex":"五十四","text":"睡不着闭上眼歇会","mode":0}
输入没准现在大楠和晓婷正在吵架呢到第二十四个 {"command":"input_text","vindex":"二十四","text":"没准现在大楠和晓婷正在吵架呢","mode":0}
第五十个点击 {"command":"click","vindex":"五十","mode":0}
输入为什么到第四十个 {"command":"input_text","vindex":"四十","text":"为什么","mode":0}
请向第十八个中输入我妈这个人就是爱折腾 {"command":"input_text","vindex":"十八","text":"我妈这个人就是爱折腾","mode":0}
看下第十三个 {"command":"click","vindex":"十三","mode":0}
添加你干嘛要瞒着妈妈呢到第十九个 {"command":"input_text","vindex":"十九","text":"你干嘛要瞒着妈妈呢","mode":0}
帮我向第十七个尾部输入想什么 {"command":"input_text","vindex":"十七","text":"想什么","mode":0}
向第八个尾部添加这什么事到汪思远身上都能让它变成一次出风 {"command":"input_text","vindex":"八","text":"这什么事到汪思远身上都能让它变成一次出风","mode":0}
向第十三个尾部输入那你稍微等一会 {"command":"input_text","vindex":"十三","text":"那你稍微等一会","mode":0}
帮我第三十八个往左 {"command":"swipe","vindex":"三十八","direction":"左"}
下滑第六个 {"command":"swipe","vindex":"六","direction":"下"}
向第四十三个尾部添加明天上午你可以跟我的助理联系 {"command":"input_text","vindex":"四十三","text":"明天上午你可以跟我的助理联系","mode":0}
帮我向左移动第三十个 {"command":"swipe","vindex":"三十","direction":"左"}
帮我向第十五个尾部输入或者说我给你开车 {"command":"input_text","vindex":"十五","text":"或者说我给你开车","mode":0}
给我第二十六个往左 {"command":"swipe","vindex":"二十六","direction":"左"}
给我向第五十九个中输入不会排斥对方 {"command":"input_text","vindex":"五十九","text":"不会排斥对方","mode":0}
把第二十九个向下滑 {"command":"swipe","vindex":"二十九","direction":"下"}
查看第二十七个 {"command":"click","vindex":"二十七","mode":0}
请添加我保证我一定会准时出现到第二十一个 {"command":"input_text","vindex":"二十一","text":"我保证我一定会准时出现","mode":0}
查看第三十六个 {"command":"click","vindex":"三十六","mode":0}
给我向第二个尾部输入刘光耀你仔细想一想 {"command":"input_text","vindex":"二","text":"刘光耀你仔细想一想","mode":0}
左滑第四十六个 {"command":"swipe","vindex":"四十六","direction":"左"}
把第三十九个向右滑 {"command":"swipe","vindex":"三十九","direction":"右"}
帮我查看第五十个 {"command":"click","vindex":"五十","mode":0}
请下滑第八个 {"command":"swipe","vindex":"八","direction":"下"}
向第五十四个中输入你呢你爸你妈 {"command":"input_text","vindex":"五十四","text":"你呢你爸你妈","mode":0}
查看第三个 {"command":"click","vindex":"三","mode":0}
向第一个中输入如果这样的话 {"command":"input_text","vindex":"一","text":"如果这样的话","mode":0}
向第五十四个中输入权筝 {"command":"input_text","vindex":"五十四","text":"权筝","mode":0}
请第十九个左滑 {"command":"swipe","vindex":"十九","direction":"左"}
请把第二十二个向上滑 {"command":"swipe","vindex":"二十二","direction":"上"}
请向第十九个尾部输入他不是没钱吗 {"command":"input_text","vindex":"十九","text":"他不是没钱吗","mode":0}
给我向第三十五个尾部添加你不能这样啊 {"command":"input_text","vindex":"三十五","text":"你不能这样啊","mode":0}
帮我右滑第三十三个 {"command":"swipe","vindex":"三十三","direction":"右"}
帮我添加男人不能没有压力到第二十六个 {"command":"input_text","vindex":"二十六","text":"男人不能没有压力","mode":0}
看下第二十三个 {"command":"click","vindex":"二十三","mode":0}
帮我输入小亮你冷静一点到第四十八个 {"command":"input_text","vindex":"四十八","text":"小亮你冷静一点","mode":0}
请把第六个向右滑 {"command":"swipe","vindex":"六","direction":"右"}
请添加我是尊重你到第十七个 {"command":"input_text","vindex":"十七","text":"我是尊重你","mode":0}
查看第四个 {"command":"click","vindex":"四","mode":0}
打开第三十九个 {"command":"click","vindex":"三十九","mode":0}
添加这个魏国强自从他找到我到第四十九个 {"command":"input_text","vindex":"四十九","text":"这个魏国强自从他找到我","mode":0}
按一下第一个 {"command":"click","vindex":"一","mode":0}
向上移动第九个 {"command":"swipe","vindex":"九","direction":"上"}
给我把第二十九个向上滑 {"command":"swipe","vindex":"二十九","direction":"上"}
请向第二十六个尾部输入我也不是那种人 {"command":"input_text","vindex":"二十六","text":"我也不是那种人","mode":0}
向右滑动第六十个 {"command":"swipe","vindex":"六十","direction":"右"}
添加每年雇保姆到第三十个 {"command":"input_text","vindex":"三十","text":"每年雇保姆","mode":0}
帮我第二十七个下滑 {"command":"swipe","vindex":"二十七","direction":"下"}
帮我向第五十个中输入以后我又手把手的教你 {"command":"input_text","vindex":"五十","text":"以后我又手把手的教你","mode":0}
向第三十九个尾部输入然而 {"command":"input_text","vindex":"三十九","text":"然而","mode":0}
把第四个向右滑 {"command":"swipe","vindex":"四","direction":"右"}
帮我查看第三十个 {"command":"click","vindex":"三十","mode":0}
请向第十九个尾部输入我又不傻 {"command":"input_text","vindex":"十九","text":"我又不傻","mode":0}
查看第十二个 {"command":"click","vindex":"十二","mode":0}
添加又省心又省事儿到第十三个 {"command":"input_text","vindex":"十三","text":"又省心又省事儿","mode":0}
请查看第五十二个 {"command":"click","vindex":"五十二","mode":0}
看下第五十二个 {"command":"click","vindex":"五十二","mode":0}
帮我添加那个爸买房子的事能不能再过几个月到第三十八个 {"command":"input_text","vindex":"三十八","text":"那个爸买房子的事能不能再过几个月","mode":0}
向第三十三个中输入真险啊 {"command":"input_text","vindex":"三十三","text":"真险啊","mode":0}
请第十九个右滑 {"command":"swipe","vindex":"十九","direction":"右"}
输入如果她打电话给你到第十六个 {"command":"input_text","vindex":"十六","text":"如果她打电话给你","mode":0}
